serial,constituency_number,township,ward_village
1,1,ွ ်,1။ ရှမး် စ တာင်ရပ်ကွက်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,2။ ရှမး် စ ြမာက်ရပ်ကက  ြပည်နယ်လတ် တာ်  (ြမစ် ကီးနား မို)
1,1,ွ ်,့ 3။ မင်းရပ်ရပ်ကက  ွ (် ြမစ် ကီးနား မို)
1,1,ွ ်,့ 4။ မိုမရပ်  (ြမစ် ကီးနား မို ့)
1,1,ွ ်,5။ မို ့သစ်ရပ်ကွက်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,6။ ယဇန  ရပ်ကွက်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,7။ ြမြမင့်ရပ်ကွက်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,8။  ွ ်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,9။ ဧရာရပ်ကက  မို ့)
1,1,ွ ်,10။ ဒူက ထာင်ရပ်ကက  ွ (် ြမစ် ကီးနား မို )
1,1,ွ ်,့ 11။ သီတာရပ်ကက  (ြမစ် ကီးနား မို ့)
1,1,ွ ်,12။ စီတာပူရပ်ကွက်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,13။ တပ်ကန်း  ရပ်ကွက်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,14။ မန်ခိန်ရပ်ကွက(် ြမစ် ကီးနား မို ့)
1,1,ွ ်,15။  ရစက်ရပ်ကွက်(ြမစ် ကီးနား မို ့)
1,1,ွ ်,16။  ကချင်စရပ်ကွက်  (ြမစ် ကီးနား မို ့)
1,1,ွ ်,17။  ခမာသီရိရပ်ကွက(် ြမစ် ကီးနား မို ့)
1,1,ွ ်,18။  နန်း ကွ ့ ကျးရွာအပ်စ
1,1,ွ ်,19။ နနက့် ျင် ကျးရွာအပ်စ
1,1,ွ ်,20။ ပလန  စခန်းများ ကျးရွာအပ်စ
1,1,ွ ်,21။  နာင်နန်း ကျးရွာအပ်စ
1,1,ွ ်,22။ အာလမ်  ကျးရွာအပ်စ
1,1,ွ ်,23။ တန်ဖဲ ကျးရွာအပ်စ
1,1,ွ ်,24။ အင်ဂျစ်ယန် ကျးရွာ  အပ်စ
1,1,ွ ်,25။ တီယန်ဇွပ် ကျးရွာအပ်စ။
2,2,အပ်စ။,1။ က န်းပင်သာရပ်ကွက်(ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,2။ လယ်ကန်းရပ်ကွက်  ြပည်နယ်လတ် တာ်  (ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,3။  အး စတီရပ်ကွက(် ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,4။  ရ ညာင်ပင်ရပ်ကက  ွ ်(ြမစ် ကီးနား မို)
2,2,အပ်စ။,့ 5။ ရမ်ပူရပ်ကက  မို ့)
2,2,အပ်စ။,6။ အာင်နန်းရိပ်သာရပ်ကက  ွ ်(ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,7။ ကက် ပါင်ြခ  ွ ်(ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,8။ မို ့သစ် ကီးရပ်ကက  9။  ရအိက်ရပ်ကွက(် ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,10။  ရြပည်သာရပ်ကွက်  (ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,11။ ပမ္မတးီ ရပ်ကက  ွ ်(ြမစ် ကီးနား မို ့)
2,2,အပ်စ။,12။ ဧရာဦး  ွ ်(ဆင်ဘိ မို ့)
2,2,အပ်စ။,13။ အာင်ချမ်းသာရပ်ကက  ွ (် ဆင်ဘိ မို ့)
2,2,အပ်စ။,14။  အာင်မဂလာရပ်ကွက(် ဆင်ဘိ မို ့)
2,2,အပ်စ။,15။ ရှ ဒါင် ကျးရွာအပ်စ
2,2,အပ်စ။,16။  အ ကဲ ကျးရွာအပ်စ
2,2,အပ်စ။,17။ လွယ် ခါ ကျးရွာအပ်စ
2,2,အပ်စ။,18။  ခါင်ဖးူ  ရွာသစ် ကျးရွာအပ်စ
2,2,အပ်စ။,19။ ခါင်ဖူးရွာ ဟာင်း ကျးရွာအပ်စ
2,2,အပ်စ။,20။  တာ လာ ကီး ကျးရွာအပ်စ
2,2,အပ်စ။,21။ စကင်း ကျးရွာအပ်စ
2,2,အပ်စ။,22။ ဟိကပ်  ကျးရွာအပ်စ
2,2,အပ်စ။,23။ ဝိင်းလ ကျးရွာအပ်စ
2,2,အပ်စ။,24။ မာ် ဖာင်း ကျးရွာ  အပ်စ 25။ တာဟိးနား ကျးရွာအပ်စ
2,2,အပ်စ။,26။ ညာင်ပင်သာ ကျးရွာ  အပ်စ
2,2,အပ်စ။,27။ မဖွား ကျးရွာအပ်စ
2,2,အပ်စ။,28။ နယ်ြခား ကျးရွာအပ်စ
2,2,အပ်စ။,29။  နာင်ပဲွ ကျးရွာအပ်စ
2,2,အပ်စ။,3ဝ။ ဝဲ ကီး ကျးရွာအပ်စ
2,2,အပ်စ။,31။ ြမင်သာ ကျးရွာ  အပ်စ
2,2,အပ်စ။,32။ ရနားပင်လ ကျးရွာအပ်စ
2,2,အပ်စ။,33။  တာပင်လ ကျးရွာ
4,3,ကျးရွာအပ်စ ။,1။ အမှတ်(1)ရပ်ကွက်(ဆဒး မို ့)
4,3,ကျးရွာအပ်စ ။,2။ အမှတ်(2)ရပ်ကွက်(ဆဒး
4,3,ကျးရွာအပ်စ ။,3။ အမှတ်(3)ရပ်ကွက်(ဆဒး မို ့)
4,3,ကျးရွာအပ်စ ။,4။ အမှတ်(4)ရပ်ကွက်  (ဆဒး မို ့)
4,3,ကျးရွာအပ်စ ။,5။  အမှတ်(5)ရပ်ကွက်(ဆဒး မို ့)
4,3,ကျးရွာအပ်စ ။,6။  အမှတ်(1)
4,3,ကျးရွာအပ်စ ။,7။ အမှတ်(2)ရပ်ကက  ိ တီ မို ့)
4,3,ကျးရွာအပ်စ ။,8။ရပ်ကွက်(ကန်ပိက်တီ မို ့)
4,3,ကျးရွာအပ်စ ။,9။ မဒိန် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,10။  ဝူယန် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,11။ နန် ့ဝါ ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,12။ ဝါး ရှာင်  ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,13။ ဒိန်ဂျန်ယန် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,14။ မန်ဝိန်း ကျးရွာ  အပ်စ
4,3,ကျးရွာအပ်စ ။,15။ ဆိင် လာ် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,16။ ဖန်တန် ကာင် ကျးရွာ  အပ်စ
4,3,ကျးရွာအပ်စ ။,17။ ဖန် ဒါင် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,18။ ရှ င ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,19။  မဂရန်ယန် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,20။ နာင်တာ လာ ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,21။  မိင်းနား ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,22။  နာင်ချိန်း ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,23။  ဝါ့ချု ့  ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,24။  လာ့ပွန် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,25။ ဇခန် ကျးရွာ  အပ်စ
4,3,ကျးရွာအပ်စ ။,26။ ဆနာ ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,27။ လ ထာင် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,28။  ဖန်က ရာ် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,29။ လဖိင် ကျးရွာအပ်စ
4,3,ကျးရွာအပ်စ ။,30။ ဆဂါ ပါ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,1။ အမှတ်(1)ရပ်ကွက်(အင်ဂျန်းယန် မို ့)
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,2။ အမှတ်(2)ရပ်ကွက်
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,3။ အမှတ်(3)ရပ်ကွက်(အင်ဂျန်းယန် မို ့)
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,4။အမှတ(် 4)ရပ်ကွက်(အင်ဂျန်းယန် မို ့)
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,5။  အင်ဝိင်း ကာင်  ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,28။ ကျိန်မာဂါး ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,29။ ရှဂရီက ထာင်  ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,30။ ရှဒန် လာ့ခွမ် ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,31။ အင်ဂ န်ဂါး  ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,32။ ဆမ်ဖွမ်ဂါး ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,33။ ခန် ဒါက်ယန်  ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,34။ မိင်ရွန်း ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,35။ အင် ထာက်ဂါး  ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,36။ မိင် တာင် ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,37။ ရှင်ကွန်  (ကျိန် ထာင်ဂါး) ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,38။  ရှဒန်ပန်ဝါ ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,39။ ဆွမ်ဒွါဂါး ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,40။ ဆ လာ်ဒိန်ငွတ် ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,41။ အင် ဂါ့အမ  ူ ား ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,42။ အင်တျိန်ခရမ် ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,43။  နာ့ခွမ်ဂါး ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,44။ အင်ဘန်ဘွမ်း ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,45။ မဝန်အူမား ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,46။ အင်ခူး ကျးရွာအပ်စ
5,1,အဒန်ဂါး ကျးရွာအပ်စ ။,47။
6,1,ွ ်ယန်,1။ ြမစ်ဆ ကျးရွာအပ်စ
6,1,ွ ်ယန်,2။ အင်ဒးယန် ကျးရွာအပ်စ
6,1,ွ ်ယန်,3။ ပင် လာင်  ြပည်နယ်လတ် တာ်  ကျးရွာအပ်စ
6,1,ွ ်ယန်,4။ အင် ပါက်ချက် ကျးရွာအပ်စ
6,1,ွ ်ယန်,5။ ဆွမ် ဖာင်း  ကျးရွာအပ်စ
6,1,ွ ်ယန်,6။ ကကျီးထူ ကျးရွာအပ်စ
6,1,ွ ်ယန်,7။ အင်ဂွမ်းလ ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,8။ ကထန်တူ ကျးရွာအပ်စ
6,1,ွ ်ယန်,9။ က ဒါ့ဇွမ် ဖာ် ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,10။ ရှဂရီဘွမ် ကျးရွာအပ်စ
6,1,ွ ်ယန်,11။ အင်မန်ခဂျန် ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,12။ အင်ခူဂါး ကျးရွာအပ်စ
6,1,ွ ်ယန်,13။ ဂကျီးထလနန် ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,14။ အင် ပါမ်ဘွမ်း ကျးရွာအပ်စ
6,1,ွ ်ယန်,15။ ကရိန်ဂါး ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,16။ ဂွမ်လန် ကျးရွာအပ်စ
6,1,ွ ်ယန်,17။ ဖွမ် ယာင်ဒိန်ဆာ ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,18။ အင်ကွယ် ကျးရွာအပ်စ
6,1,ွ ်ယန်,19။ ဆ လာ်ဒိန်ဆာ ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,20။ အင်ဆာခရန် ကျးရွာအပ်စ ။  ွ (် တနိင်း မို)
6,1,ွ ်ယန်,့ 2။ ဟူး ကာင်းရပ်ကက  ြပည်နယ်လတ် တာ်  3။ ကင်ဆားရပ်ကွက်(တနိင်း မို ့)
6,1,ွ ်ယန်,4။ ဒူး ကာင်းရပ်ကွက်(တနိင်း  မို ့)
6,1,ွ ်ယန်,5။ တိန် ကာက် ကျးရွာအပ်စ
6,1,ွ ်ယန်,6။  နမ်ဖျက်ယန် ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,7။ နာင်လ ကာင်ရာ ကျးရွာအပ်စ
6,1,ွ ်ယန်,8။ ဒနိင်ယန် ကျးရွာ  အပ်စ
6,1,ွ ်ယန်,9။ အင်တွဲအင်ပ ရာ့ ကျးရွာအပ်စ
6,1,ွ ်ယန်,10။  ဂါ့လန  ကျးရွာအပ်စ
6,1,ွ ်ယန်,11။ ရှိန် ့ ဘွ ကာင့် ကျးရွာအပ်စ
6,1,ွ ်ယန်,12။ အာလ င်  ကျးရွာအပ်စ
6,1,ွ ်ယန်,13။ ဆင်(မ်)ဆ ကျးရွာအပ်စ ။
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,1။
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,3။ အမှတ်(3)ရပ်ကွက်(ရှင် ဗွယန် မို ့)
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,4။ အမှတ်  (4)ရပ်ကွက်(ရှင် ဗွယန် မို ့)
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,5။ ဆင်ဆာ့ ကာင်းရပ်ကွက်(တနိင်း  မို ့)
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,6။ ပန်ခန် ကာင်းရပ်ကွက်(တနိင်း မို ့)
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,7။ မိင်းခွန်း(မ ့ ခါင်မ်)  ကျးရွာအပ်စ
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,8။ မ ကာ ကျးရွာအပ်စ
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,9။ ရှင်လးဂါး ကျးရွာ  အပ်စ
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,10။ ခလန်း ကျးရွာအပ်စ
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,11။ တရ ကျးရွာအပ်စ
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,12။  ဆရာက ထာင် ကျးရွာအပ်စ
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,13။ ဇီး ကာင့် ကျးရွာအပ်စ
8,2,အင်ဂမ်ဂါး ကျးရွာအပ်စ ။,14။
9,7,ဖရဲ ကျးရွာအပ်စ ။,1။ ရစ် လာ ခါင်ရပ်ကွက(် ချီ ဖွ မို ့)
9,7,ဖရဲ ကျးရွာအပ်စ ။,2။ ဥက္က ပ်ရပ်ကွက်(ချီ ဖွ မို ့)
9,7,ဖရဲ ကျးရွာအပ်စ ။,ြပည်နယ်လတ် တာ်  3။ ဘာလဲ့ဒမ်ရပ်ကွက(် ချီ ဖွ မို ့)
9,7,ဖရဲ ကျးရွာအပ်စ ။,4။ ကန်ပိင်ယရပ်ကွက်(ချီ ဖွ မို ့)
9,7,ဖရဲ ကျးရွာအပ်စ ။,5။ အမှတ်(1)ရပ်ကက
9,7,ဖရဲ ကျးရွာအပ်စ ။,6။ အမှတ်(2)ရပ်ကကရပ်ကွက်(ပန်ဝါ မို ့)
9,7,ဖရဲ ကျးရွာအပ်စ ။,8။ လိင်မာယန် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,9။  ဂျစ်လိင် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,10။  ရစ် ဂျာ် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,11။  မာင်ဂန် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,12။ ကျင်ထး ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,13။ မစ  ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,14။ ရှမ်း ကျာ် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,15။ မ ဂါင် ကျးရွာ  အပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,16။ ဘန် ့လီ ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,17။ နာ မာ်ဇွပ် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,18။ တမူး ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,19။  လာ ခါင် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,20။  ရပ် ချာင် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,21။ ထာ ဂါ့ ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,22။ လန်ယန်  ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,23။ ဗွီလပ် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,24။ ဇန် နာင် ကျးရွာ  အပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,25။ န လာ ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,26။  မျာ မာပါ ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,27။  လာင်ဖမ့် ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,28။ ြမစ် နာ့ ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,29။  ဖလာ ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,30။  ဗျာ်လီ ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,31။ မန် ့ဒန ့်  ကျးရွာအပ်စ
9,7,ဖရဲ ကျးရွာအပ်စ ။,32 ။ လန်း ဂျာ ကျးရွာအပ်စ။
11,1,ွ ်,1။ ဆာ့ လာ်ရပ်ကွက(် ဆာ့ လာ် မို ့)
11,1,ွ ်,2။ မန်ကျီ ကျးရွာအပ်စ
11,1,ွ ်,3။  ြပည်နယ်လတ် တာ်  ဝ ဟာင် ကျးရွာအပ်စ
11,1,ွ ်,4။  ယာ် ဂျာ ကျးရွာအပ်စ
11,1,ွ ်,5။ ဂျစ်လယ  ကျးရွာအပ်စ
11,1,ွ ်,6။  လာင်ဒင် ကျးရွာအပ်စ
11,1,ွ ်,7။  မျာ ဂျာင်း  ကျးရွာအပ်စ
11,1,ွ ်,8။ မန် ဗျာ့ ကျးရွာအပ်စ
11,1,ွ ်,9။ ကျီးရှင် ကျးရွာ  အပ်စ
11,1,ွ ်,1ဝ။ လခမ် ကျးရွာအပ်စ
11,1,ွ ်,11။ ယင်းကျင်း ကျးရွာအပ်စ
11,1,ွ ်,12။ ရှင်ဆွယ် ကျးရွာအပ်စ
11,1,ွ ်,13။  ဂါ့ မာ ကျးရွာအပ်စ
11,1,ွ ်,14။  လာင်လန် ကျးရွာအပ်စ
11,1,ွ ်,15။ ဇန်ယူ ကျးရွာအပ်စ
11,1,ွ ်,16။ ဝြမစ် ကျးရွာ  အပ်စ
11,1,ွ ်,17။ နန်ဘတ် ကျးရွာအပ်စ
11,1,ွ ်,18။ ဘတ်ရန် ကျးရွာအပ်စ
11,1,ွ ်,19။ ရှဖတ် ကျးရွာအပ်စ
11,1,ွ ်,20။ လာဇာ ကျးရွာအပ်စ ။
12,2,ွ ်,1။ ဟန်း ကာ ကျးရွာအပ်စ
12,2,ွ ်,2။ ထာလန် ကျးရွာအပ်စ
12,2,ွ ်,3။ လကင်  ြပည်နယ်လတ် တာ်  ကျးရွာအပ်စ
12,2,ွ ်,4။ ဂျာရန် ကျးရွာအပ်စ
12,2,ွ ်,5။ ပရှဲ ကျးရွာအပ်စ
12,2,ွ ်,6။  လာချင် ကျးရွာအပ်စ။
13,1,ွ ်,1။ နနခ့် ါရပ်ကွက်(မိးညင်း မို ့)
13,1,ွ ်,2။ မို ့မရပ်ကွက်(မိးညင်း မို ့)
13,1,ွ ်,3။  ြပည်နယ်လတ် တာ်  အတ်ကျင်းရပ်ကွက(် မိးညင်း မို ့)
13,1,ွ ်,4။ အ ရှ စရပ်  ့  ကွက်(မိးညင်း မို ့)
13,1,ွ ်,5။ အာင်သ ြပရပ်ကွက(် မိးညင်း မို ့)
13,1,ွ ်,6။ ပင်လ ကျးရွာအပ်စ
13,1,ွ ်,7။  မာ်ဟန် ကျးရွာအပ်စ
13,1,ွ ်,8။ ညာင်ကိင်း ကျးရွာအပ်စ
13,1,ွ ်,9။ ကာတူ  ကျးရွာအပ်စ
13,1,ွ ်,1ဝ။ ဆယ်မိင်ရွာသစ် ကျးရွာအပ်စ
13,1,ွ ်,11။ နန် ့ပတ်  ကျးရွာအပ်စ
13,1,ွ ်,12။ ပင်းဟဲ ကျးရွာအပ်စ
13,1,ွ ်,13။ ရွာသစ်ကန်း ကျးရွာ  အပ်စ
13,1,ွ ်,14။ အင် ကင်းကန်း ကျးရွာအပ်စ
13,1,ွ ်,15။ ဘီလူး ကျးရွာ  အပ်စ
13,1,ွ ်,16။ ညာင်ကန်း ကျးရွာအပ်စ
13,1,ွ ်,17။ ဟဲလ ကျးရွာအပ်စ
13,1,ွ ်,18။
13,1,ွ ်,နန်းမား ကျးရွာအပ်စ
13,1,ွ ်,19။ နမ့် စာ် လာ် ကျးရွာအပ်စ
13,1,ွ ်,20။ အင်းကန်း ကျးရွာအပ်စ
13,1,ွ ်,21။  ညာင်ပင်သာ ကျးရွာအပ်စ
13,1,ွ ်,22။ တာင်အင်း ကျးရွာအပ်စ
13,1,ွ ်,23။ လယ်မီး ကျးရွာအပ်စ။  ွ ်(နမ္မတးီ )
13,1,ွ ်,7။ မို ့မရပ်ကက  ွ ်(နမ္မတးီ )
13,1,ွ ်,8။ မို ့လှရပ်ကက  (နမ္မတီး မို ့) 9။ မို ့သာယာရပ်ကွက(် နမ္မတးီ ) 1ဝ။ ပင်းခါး ကျးရွာ  အပ်စ
13,1,ွ ်,11။ ကာအင်း ကျးရွာအပ်စ
13,1,ွ ်,12။ က န်းပင်သာ ကျးရွာ  အပ်စ
13,1,ွ ်,13။ ရရှင် ကျးရွာအပ်စ
13,1,ွ ်,14။ လွယ်လီယ ကျးရွာအပ်စ
13,1,ွ ်,15။  ညာင်ကန်း ကျးရွာအပ်စ
13,1,ွ ်,16။ လွဲ လာ ကျးရွာအပ်စ
13,1,ွ ်,17။ သူ ဌးကန်း ကျးရွာအပ်စ
13,1,ွ ်,18။ ြမ ဒါင် ကျးရွာအပ်စ
13,1,ွ ်,19။  ကလှ ကျးရွာအပ်စ
13,1,ွ ်,2ဝ။ လမ်းခွ ကျးရွာအပ်စ
13,1,ွ ်,21။ မို ့သစ် ကီး  ကျးရွာအပ်စ
13,1,ွ ်,22။ ညာင် တာ ကျးရွာအပ်စ
13,1,ွ ်,23။ မရမ်း ကျးရွာ  အပ်စ
13,1,ွ ်,24။ ဆီးဒင်ယ ကျးရွာအပ်စ။
16,1,် န် ကျးရွာ,1။  ြပည်နယ်လတ် တာ်  (မိး ကာင်း မို ့)
16,1,် န် ကျးရွာ,3။ ရွာသစ်ရပ်ကွက်(မိး ကာင်း မို ့)
16,1,် န် ကျးရွာ,4။ မို ့ဦး  ရပ်ကွက်(မိး ကာင်း မို ့)
16,1,် န် ကျးရွာ,5။ က န်း တာရပ်ကွက်(မိး ကာင်း မို ့)
16,1,် န် ကျးရွာ,6။ မန်ရက  ွ ် ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,7။ ဆာင်းခါ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,8။ နန် ့ဟိင်  ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,9။ ထိပူး ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,1ဝ။  ရအင်း ကျးရွာ  အပ်စ
16,1,် န် ကျးရွာ,11။  အာင်သာ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,12။ အင်း ဘာင်း ကျးရွာ  အပ်စ
16,1,် န် ကျးရွာ,13။ ဆား မှာ် ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,14။ ကညင် မိုင် ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,15။ ကဝါးယ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,16။ တာင်နီ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,17။ နမ္မန  ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,18။ ပင့်သာ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,19။ အန်း ဘာင် ကျးရွာ  အပ်စ
16,1,် န် ကျးရွာ,6။ နာင်း မီ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,7။ ဝရာဇွပ် ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,8။  ကာင်ရာ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,9။  ဂ ရီ ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,10။ နန် ့စီအင်  ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,11။ ကထန်ယန် ကျးရွာအပ်စ
16,1,် န် ကျးရွာ,12။ နန် ့ယား ကျးရွာ  အပ်စ
16,1,် န် ကျးရွာ,13။ ကပ် မှာ်စွပ် ကျးရွာအပ်စ။
18,2,အပ်စ။,undefined  ့် ု ့နယ်  1။ အးြမသာယာရပ်ကွက်(ဖားကန် ့မုိ ့)
18,2,အပ်စ။,2။ မရှီက ထာင်ရပ်ကွက်  ြပည်နယ်လတ် တာ်  (ဖားကန် ့မို ့)
18,2,အပ်စ။,3။ မာ်ဝမ်းရပ်ကွက်(ဖားကန် ့မို ့)
18,2,အပ်စ။,4။ မို ့မရပ်ကက  (ဖားကန် ့မို ့)
18,2,အပ်စ။,5။ ငှက် ပျာ တာရပ်ကက  ့ ုိ ့)
18,2,အပ်စ။,6။ နမ့မ  ကျးရွာအပ်စ
18,2,အပ်စ။,7။ ဆိပ်မူ ကျးရွာအပ်စ
18,2,အပ်စ။,8။  ဟာင်ပါး ကျးရွာ
19,1,ကျးရွာအပ်စ ။,1။ သာစည်ရပ်ကွက(် ဗန်း မာ် မို ့)
19,1,ကျးရွာအပ်စ ။,2။ မို ့မရပ်ကွက်(ဗန်း မာ် မို ့)
19,1,ကျးရွာအပ်စ ။,ြပည်နယ်လတ် တာ်  3။ မင်းကန်းရပ်ကွက်(ဗန်း မာ် မို ့)
19,1,ကျးရွာအပ်စ ။,4။ မင်း ကျာင်းကန်းရပ်ကွက်  (ဗန်း မာ် မို ့)
